long,lat,T_Summer,PPT_Summer,VWC_Summer_whole,ExtremeShortTermDryStress_Summer_whole,T_Summer_t,PPT_Summer_t,VWC_Summer_whole_t,ExtremeShortTermDryStress_Summer_whole_t
-110.0235,37.57377,23.04,2.56,0.06,36.11,0.92,0.29,0.31,0.97
-110.0218,37.59595,23.07,2.57,0.04,36.11,0.94,0.33,0.16,0.97
-110.0214,37.5846,23.04,2.56,0.03,36.11,0.92,0.29,0.0,0.97
-110.0208,37.57984,23.04,2.56,0.05,36.11,0.92,0.29,0.24,0.97
-110.0201,37.57192,23.04,2.56,0.06,36.11,0.92,0.29,0.32,0.97
-110.0177,37.61205,23.07,2.57,0.05,36.11,0.94,0.33,0.26,0.97
-110.0173,37.6007,23.07,2.57,0.06,36.11,0.94,0.33,0.32,0.97
-110.017,37.61416,23.07,2.57,0.05,36.11,0.94,0.33,0.25,0.97
-110.0153,37.61258,23.07,2.57,0.06,36.11,0.94,0.33,0.42,0.97
-110.0149,37.58143,23.04,2.56,0.04,36.11,0.92,0.29,0.15,0.97
-110.0146,37.61839,23.07,2.57,0.06,36.11,0.94,0.33,0.36,0.97
-110.0129,37.62472,23.07,2.57,0.07,36.11,0.94,0.33,0.52,0.97
-110.0129,37.62736,23.07,2.57,0.08,36.11,0.94,0.33,0.55,0.97
-110.0105,37.59252,23.07,2.57,0.05,36.11,0.94,0.33,0.28,0.97
-110.0105,37.6139,23.07,2.57,0.06,36.11,0.94,0.33,0.34,0.97
-110.0105,37.62208,23.07,2.57,0.07,36.11,0.94,0.33,0.44,0.97
-110.0101,37.62024,23.07,2.57,0.06,36.11,0.94,0.33,0.32,0.97
-110.0098,37.59964,23.07,2.57,0.07,36.11,0.94,0.33,0.5,0.97
-110.0094,37.61839,23.07,2.57,0.05,36.11,0.94,0.33,0.25,0.97
-110.0084,37.57324,23.04,2.56,0.05,36.11,0.92,0.29,0.26,0.97
-110.007,37.61733,23.07,2.57,0.06,36.11,0.94,0.33,0.35,0.97
-110.0057,37.59436,23.07,2.57,0.07,36.11,0.94,0.33,0.52,0.97
-110.0057,37.61284,23.07,2.57,0.07,36.11,0.94,0.33,0.52,0.97
-110.005,37.61892,23.07,2.57,0.06,36.11,0.94,0.33,0.33,0.97
-110.005,37.62657,23.07,2.57,0.08,36.11,0.94,0.33,0.64,0.97
-110.0046,37.57034,23.04,2.56,0.06,36.11,0.92,0.29,0.32,0.97
-110.0033,37.59806,23.07,2.57,0.08,36.11,0.94,0.33,0.61,0.97
-110.0033,37.61707,23.07,2.57,0.07,36.11,0.94,0.33,0.48,0.97
-110.0029,37.62156,23.07,2.57,0.07,36.11,0.94,0.33,0.43,0.97
-110.0022,37.57324,23.04,2.56,0.06,36.11,0.92,0.29,0.4,0.97
-110.0022,37.5846,23.04,2.56,0.05,36.11,0.92,0.29,0.28,0.97
-110.0022,37.60915,23.07,2.57,0.07,36.11,0.94,0.33,0.52,0.97
-110.0019,37.57879,23.04,2.56,0.05,36.11,0.92,0.29,0.27,0.97
-110.0016,37.59146,23.07,2.57,0.08,36.11,0.94,0.33,0.61,0.97
-110.0016,37.61654,23.07,2.57,0.07,36.11,0.94,0.33,0.52,0.97
-110.0012,37.61733,23.07,2.57,0.08,36.11,0.94,0.33,0.57,0.97
-110.0005,37.61892,23.07,2.57,0.08,36.11,0.94,0.33,0.67,0.97
-109.9998,37.58565,23.04,2.56,0.07,36.11,0.92,0.29,0.5,0.97
-109.9988,37.62393,23.07,2.57,0.07,36.11,0.94,0.33,0.5,0.97
-109.9978,37.58988,23.07,2.57,0.07,36.11,0.94,0.33,0.54,0.97
-109.9974,37.6044,23.07,2.57,0.08,36.11,0.94,0.33,0.62,0.97
-109.9971,37.61997,23.07,2.57,0.08,36.11,0.94,0.33,0.6,0.97
-109.995,37.59727,22.52,2.5,0.08,35.63,0.59,0.0,0.63,0.72
-109.994,37.62499,22.52,2.5,0.07,35.63,0.59,0.0,0.47,0.72
-109.9933,37.6102,22.52,2.5,0.08,35.63,0.59,0.0,0.59,0.72
-109.993,37.5941,22.52,2.5,0.07,35.63,0.59,0.0,0.54,0.72
-109.993,37.61865,22.52,2.5,0.08,35.63,0.59,0.0,0.56,0.72
-109.9926,37.62684,22.52,2.5,0.07,35.63,0.59,0.0,0.53,0.72
-109.9916,37.63212,21.6,2.71,0.09,34.32,0.0,1.0,0.71,0.02
-109.9913,37.62578,22.52,2.5,0.08,35.63,0.59,0.0,0.56,0.72
-109.9909,37.59278,22.52,2.5,0.08,35.63,0.59,0.0,0.62,0.72
-109.9882,37.62736,22.52,2.5,0.1,35.45,0.59,0.0,0.8,0.62
-109.9878,37.62235,22.52,2.5,0.08,35.63,0.59,0.0,0.61,0.72
-109.9858,37.62156,22.52,2.5,0.08,35.63,0.59,0.0,0.66,0.72
-109.9837,37.62763,22.52,2.5,0.1,35.63,0.59,0.0,0.8,0.72
-109.983,37.62974,21.6,2.71,0.09,34.32,0.0,1.0,0.68,0.02
-109.9823,37.62816,22.52,2.5,0.1,35.45,0.59,0.0,0.85,0.62
-109.9803,37.6139,22.52,2.5,0.09,35.63,0.59,0.0,0.71,0.72
-109.9799,37.62868,22.52,2.5,0.1,35.45,0.59,0.0,0.87,0.62
-109.9786,37.60308,22.52,2.5,0.09,35.63,0.59,0.0,0.74,0.72
-109.9786,37.63027,21.6,2.71,0.09,34.32,0.0,1.0,0.72,0.02
-109.9782,37.62921,21.6,2.71,0.1,34.28,0.0,1.0,0.86,0.0
-109.9775,37.63344,21.6,2.71,0.1,34.32,0.0,1.0,0.8,0.02
-109.9762,37.62789,22.52,2.5,0.09,35.63,0.59,0.0,0.75,0.72
-109.9758,37.59912,22.52,2.5,0.1,35.63,0.59,0.0,0.84,0.72
-109.9758,37.60862,22.52,2.5,0.09,35.63,0.59,0.0,0.77,0.72
-109.9758,37.62684,22.52,2.5,0.1,35.63,0.59,0.0,0.87,0.72
-109.9734,37.61522,22.52,2.5,0.1,35.63,0.59,0.0,0.87,0.72
-109.9731,37.6308,21.6,2.71,0.09,34.32,0.0,1.0,0.71,0.02
-109.9714,37.63476,21.6,2.71,0.1,34.32,0.0,1.0,0.9,0.02
-109.9693,37.62631,22.52,2.5,0.1,35.63,0.59,0.0,0.87,0.72
-109.969,37.61284,22.52,2.5,0.11,35.63,0.59,0.0,1.0,0.72
-109.9679,37.61654,22.52,2.5,0.1,35.63,0.59,0.0,0.9,0.72
-109.9679,37.62974,21.6,2.71,0.1,34.28,0.0,1.0,0.83,0.0
-109.9673,37.62868,22.52,2.5,0.09,35.63,0.59,0.0,0.78,0.72
-109.9669,37.62446,22.52,2.5,0.11,35.45,0.59,0.0,1.0,0.62
-109.9662,37.60783,22.52,2.5,0.08,35.63,0.59,0.0,0.61,0.72
-109.9662,37.63159,21.6,2.71,0.09,34.32,0.0,1.0,0.77,0.02
-109.9659,37.62525,22.52,2.5,0.09,35.63,0.59,0.0,0.74,0.72
