long,lat,T_Summer,PPT_Summer,VWC_Summer_whole,ExtremeShortTermDryStress_Summer_whole,T_Summer_t,PPT_Summer_t,VWC_Summer_whole_t,ExtremeShortTermDryStress_Summer_whole_t
-110.029,37.61179,22.7,7.2,0.06,34.92,0.87,0.13,0.38,0.88
-110.0286,37.60202,22.7,7.2,0.04,34.92,0.87,0.13,0.07,0.88
-110.0283,37.58671,22.72,7.42,0.04,35.07,0.88,0.25,0.15,0.95
-110.028,37.58011,22.72,7.42,0.05,35.06,0.88,0.25,0.2,0.95
-110.028,37.59753,22.7,7.2,0.05,34.93,0.87,0.13,0.18,0.88
-110.0273,37.60704,22.7,7.2,0.05,34.93,0.87,0.13,0.21,0.88
-110.0262,37.60308,22.7,7.2,0.05,34.93,0.87,0.13,0.26,0.88
-110.0259,37.60809,22.7,7.2,0.04,34.93,0.87,0.13,0.17,0.88
-110.0245,37.57668,22.72,7.42,0.06,35.06,0.88,0.25,0.31,0.95
-110.0245,37.61496,22.7,7.2,0.06,34.93,0.87,0.13,0.35,0.88
-110.0242,37.61284,22.7,7.2,0.05,34.93,0.87,0.13,0.27,0.88
-110.0235,37.57377,22.72,7.42,0.06,35.07,0.88,0.25,0.35,0.95
-110.0218,37.59595,22.7,7.2,0.05,34.93,0.87,0.13,0.21,0.88
-110.0214,37.5846,22.72,7.42,0.03,35.06,0.88,0.25,0.0,0.95
-110.0208,37.57984,22.72,7.42,0.05,35.07,0.88,0.25,0.28,0.95
-110.0201,37.57192,22.72,7.42,0.06,35.06,0.88,0.25,0.33,0.95
-110.0177,37.61205,22.7,7.2,0.05,34.92,0.87,0.13,0.27,0.88
-110.0173,37.6007,22.7,7.2,0.06,34.92,0.87,0.13,0.34,0.88
-110.017,37.61416,22.7,7.2,0.05,34.93,0.87,0.13,0.25,0.88
-110.0153,37.61258,22.7,7.2,0.07,34.93,0.87,0.13,0.45,0.88
-110.0149,37.58143,22.72,7.42,0.04,35.06,0.88,0.25,0.15,0.95
-110.0146,37.61839,22.7,7.2,0.06,34.93,0.87,0.13,0.38,0.88
-110.0129,37.62472,22.7,7.2,0.07,34.93,0.87,0.13,0.56,0.88
-110.0129,37.62736,22.7,7.2,0.08,34.93,0.87,0.13,0.59,0.88
-110.0105,37.59252,22.7,7.2,0.06,34.93,0.87,0.13,0.33,0.88
-110.0105,37.6139,22.7,7.2,0.06,34.93,0.87,0.13,0.37,0.88
-110.0105,37.62208,22.7,7.2,0.07,34.92,0.87,0.13,0.46,0.88
-110.0101,37.62024,22.7,7.2,0.06,34.93,0.87,0.13,0.35,0.88
-110.0098,37.59964,22.7,7.2,0.07,34.93,0.87,0.13,0.51,0.88
-110.0094,37.61839,22.7,7.2,0.05,34.93,0.87,0.13,0.27,0.88
-110.0084,37.57324,22.72,7.42,0.05,35.06,0.88,0.25,0.27,0.95
-110.007,37.61733,22.7,7.2,0.06,34.93,0.87,0.13,0.35,0.88
-110.0057,37.59436,22.7,7.2,0.07,34.93,0.87,0.13,0.55,0.88
-110.0057,37.61284,22.7,7.2,0.08,34.93,0.87,0.13,0.56,0.88
-110.005,37.61892,22.7,7.2,0.06,34.93,0.87,0.13,0.34,0.88
-110.005,37.62657,22.7,7.2,0.08,34.93,0.87,0.13,0.67,0.88
-110.0046,37.57034,22.72,7.42,0.06,35.06,0.88,0.25,0.32,0.95
-110.0033,37.59806,22.7,7.2,0.08,34.93,0.87,0.13,0.65,0.88
-110.0033,37.61707,22.7,7.2,0.07,34.92,0.87,0.13,0.49,0.88
-110.0029,37.62156,22.7,7.2,0.07,34.93,0.87,0.13,0.46,0.88
-110.0022,37.57324,22.72,7.42,0.07,35.07,0.88,0.25,0.43,0.95
-110.0022,37.5846,22.72,7.42,0.06,35.06,0.88,0.25,0.31,0.95
-110.0022,37.60915,22.7,7.2,0.07,34.93,0.87,0.13,0.54,0.88
-110.0019,37.57879,22.72,7.42,0.06,35.07,0.88,0.25,0.31,0.95
-110.0016,37.59146,22.7,7.2,0.08,34.93,0.87,0.13,0.65,0.88
-110.0016,37.61654,22.7,7.2,0.07,34.93,0.87,0.13,0.56,0.88
-110.0012,37.61733,22.7,7.2,0.08,34.92,0.87,0.13,0.6,0.88
-110.0005,37.61892,22.7,7.2,0.09,34.92,0.87,0.13,0.71,0.88
-109.9998,37.58565,22.72,7.42,0.07,35.07,0.88,0.25,0.54,0.95
-109.9988,37.62393,22.7,7.2,0.07,34.93,0.87,0.13,0.53,0.88
-109.9978,37.58988,22.7,7.2,0.08,34.93,0.87,0.13,0.59,0.88
-109.9974,37.6044,22.7,7.2,0.08,34.93,0.87,0.13,0.64,0.88
-109.9971,37.61997,22.7,7.2,0.08,34.92,0.87,0.13,0.63,0.88
-109.995,37.59727,22.05,7.77,0.08,34.4,0.5,0.45,0.69,0.62
-109.994,37.62499,22.05,7.77,0.07,34.41,0.5,0.45,0.52,0.62
-109.9933,37.6102,22.05,7.77,0.08,34.4,0.5,0.45,0.63,0.62
-109.993,37.5941,22.05,7.77,0.08,34.4,0.5,0.45,0.59,0.62
-109.993,37.61865,22.05,7.77,0.08,34.39,0.5,0.45,0.6,0.61
-109.9926,37.62684,22.05,7.77,0.08,34.4,0.5,0.45,0.57,0.62
-109.9916,37.63212,21.17,8.75,0.09,33.17,0.0,1.0,0.74,0.01
-109.9913,37.62578,22.05,7.77,0.07,34.4,0.5,0.45,0.55,0.62
-109.9909,37.59278,22.05,7.77,0.08,34.4,0.5,0.45,0.65,0.62
-109.9882,37.62736,22.05,7.77,0.08,34.37,0.5,0.45,0.69,0.61
-109.9878,37.62235,22.05,7.77,0.08,34.4,0.5,0.45,0.65,0.62
-109.9858,37.62156,22.05,7.77,0.09,34.4,0.5,0.45,0.71,0.62
-109.9837,37.62763,22.05,7.77,0.1,34.36,0.5,0.45,0.83,0.6
-109.983,37.62974,21.17,8.75,0.08,33.17,0.0,1.0,0.63,0.01
-109.9823,37.62816,22.05,7.77,0.09,34.31,0.5,0.45,0.74,0.57
-109.9803,37.6139,22.05,7.77,0.09,34.4,0.5,0.45,0.73,0.62
-109.9799,37.62868,22.05,7.77,0.09,34.39,0.5,0.45,0.8,0.61
-109.9786,37.60308,22.05,7.77,0.09,34.39,0.5,0.45,0.79,0.62
-109.9786,37.63027,21.17,8.75,0.09,33.17,0.0,1.0,0.71,0.01
-109.9782,37.62921,21.17,8.75,0.09,33.17,0.0,1.0,0.77,0.0
-109.9775,37.63344,21.17,8.75,0.1,33.16,0.0,1.0,0.83,0.0
-109.9762,37.62789,22.05,7.77,0.09,34.39,0.5,0.45,0.76,0.61
-109.9758,37.59912,22.05,7.77,0.1,34.4,0.5,0.45,0.87,0.62
-109.9758,37.60862,22.05,7.77,0.1,34.4,0.5,0.45,0.83,0.62
-109.9758,37.62684,22.05,7.77,0.1,34.32,0.5,0.45,0.89,0.58
-109.9734,37.61522,22.05,7.77,0.1,34.39,0.5,0.45,0.88,0.61
-109.9731,37.6308,21.17,8.75,0.09,33.17,0.0,1.0,0.71,0.0
-109.9714,37.63476,21.17,8.75,0.1,33.16,0.0,1.0,0.91,0.0
-109.9693,37.62631,22.05,7.77,0.1,34.33,0.5,0.45,0.89,0.58
-109.969,37.61284,22.05,7.77,0.11,34.4,0.5,0.45,1.0,0.62
-109.9679,37.61654,22.05,7.77,0.1,34.4,0.5,0.45,0.9,0.62
-109.9679,37.62974,21.17,8.75,0.09,33.17,0.0,1.0,0.75,0.01
-109.9673,37.62868,22.05,7.77,0.09,34.39,0.5,0.45,0.82,0.61
-109.9669,37.62446,22.05,7.77,0.11,34.16,0.5,0.45,1.0,0.5
-109.9662,37.60783,22.05,7.77,0.08,34.4,0.5,0.45,0.64,0.62
-109.9662,37.63159,21.17,8.75,0.09,33.16,0.0,1.0,0.79,0.0
-109.9659,37.62525,22.05,7.77,0.09,34.39,0.5,0.45,0.74,0.61
