long,lat,T_Summer_1980,PPT_Summer_1980,VWC_Summer_whole_1980,ExtremeShortTermDryStress_Summer_whole_1980,T_Summer_2018,PPT_Summer_2018,VWC_Summer_whole_2018,ExtremeShortTermDryStress_Summer_whole_2018,T_Summer_diff,PPT_Summer_diff,VWC_Summer_whole_diff,ExtremeShortTermDryStress_Summer_whole_diff
-110.0338,37.59991,23.07,2.57,0.04,36.11,24.31,4.36,0.04,34.82,1.24,1.79,0.0,-1.29
-110.0334,37.60492,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.82,1.24,1.79,0.0,-1.29
-110.0331,37.60915,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.82,1.24,1.79,0.0,-1.29
-110.0328,37.60334,23.07,2.57,0.04,36.11,24.31,4.36,0.04,34.82,1.24,1.79,0.0,-1.29
-110.0321,37.60862,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.82,1.24,1.79,0.0,-1.29
-110.0314,37.58935,23.07,2.57,0.04,36.11,24.31,4.36,0.04,34.75,1.24,1.79,0.0,-1.36
-110.03,37.59938,23.07,2.57,0.04,36.11,24.31,4.36,0.04,34.75,1.24,1.79,0.0,-1.36
-110.029,37.60598,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.82,1.24,1.79,0.0,-1.29
-110.029,37.61179,23.07,2.57,0.06,36.11,24.31,4.36,0.06,34.75,1.24,1.79,0.0,-1.36
-110.0286,37.60202,23.07,2.57,0.04,36.11,24.31,4.36,0.04,34.75,1.24,1.79,0.0,-1.36
-110.0283,37.58671,23.04,2.56,0.04,36.11,24.34,4.63,0.04,34.94,1.3,2.07,0.0,-1.17
-110.028,37.58011,23.04,2.56,0.05,36.11,24.34,4.63,0.05,34.94,1.3,2.07,0.0,-1.17
-110.028,37.59753,23.07,2.57,0.04,36.11,24.31,4.36,0.04,34.75,1.24,1.79,0.0,-1.36
-110.0273,37.60704,23.07,2.57,0.04,36.11,24.31,4.36,0.04,34.82,1.24,1.79,0.0,-1.29
-110.0262,37.60308,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.75,1.24,1.79,0.0,-1.36
-110.0259,37.60809,23.07,2.57,0.04,36.11,24.31,4.36,0.04,34.82,1.24,1.79,0.0,-1.29
-110.0245,37.57668,23.04,2.56,0.05,36.11,24.34,4.63,0.05,34.94,1.3,2.07,0.0,-1.17
-110.0245,37.61496,23.07,2.57,0.06,36.11,24.31,4.36,0.06,34.75,1.24,1.79,0.0,-1.36
-110.0242,37.61284,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.82,1.24,1.79,0.0,-1.29
-110.0235,37.57377,23.04,2.56,0.06,36.11,24.34,4.63,0.06,34.94,1.3,2.07,0.0,-1.17
-110.0218,37.59595,23.07,2.57,0.04,36.11,24.31,4.36,0.04,34.82,1.24,1.79,0.0,-1.29
-110.0214,37.5846,23.04,2.56,0.03,36.11,24.34,4.63,0.03,34.94,1.3,2.07,0.0,-1.17
-110.0208,37.57984,23.04,2.56,0.05,36.11,24.34,4.63,0.05,34.94,1.3,2.07,0.0,-1.17
-110.0201,37.57192,23.04,2.56,0.06,36.11,24.34,4.63,0.06,34.94,1.3,2.07,0.0,-1.17
-110.0177,37.61205,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.75,1.24,1.79,0.0,-1.36
-110.0173,37.6007,23.07,2.57,0.06,36.11,24.31,4.36,0.06,34.75,1.24,1.79,0.0,-1.36
-110.017,37.61416,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.75,1.24,1.79,0.0,-1.36
-110.0153,37.61258,23.07,2.57,0.06,36.11,24.31,4.36,0.06,34.75,1.24,1.79,0.0,-1.36
-110.0149,37.58143,23.04,2.56,0.04,36.11,24.34,4.63,0.04,34.94,1.3,2.07,0.0,-1.17
-110.0146,37.61839,23.07,2.57,0.06,36.11,24.31,4.36,0.06,34.75,1.24,1.79,0.0,-1.36
-110.0129,37.62472,23.07,2.57,0.07,36.11,24.31,4.36,0.07,34.82,1.24,1.79,0.0,-1.29
-110.0129,37.62736,23.07,2.57,0.08,36.11,24.31,4.36,0.07,34.75,1.24,1.79,-0.01,-1.36
-110.0105,37.59252,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.82,1.24,1.79,0.0,-1.29
-110.0105,37.6139,23.07,2.57,0.06,36.11,24.31,4.36,0.06,34.75,1.24,1.79,0.0,-1.36
-110.0105,37.62208,23.07,2.57,0.07,36.11,24.31,4.36,0.07,34.75,1.24,1.79,0.0,-1.36
-110.0101,37.62024,23.07,2.57,0.06,36.11,24.31,4.36,0.06,34.75,1.24,1.79,0.0,-1.36
-110.0098,37.59964,23.07,2.57,0.07,36.11,24.31,4.36,0.07,34.75,1.24,1.79,0.0,-1.36
-110.0094,37.61839,23.07,2.57,0.05,36.11,24.31,4.36,0.05,34.75,1.24,1.79,0.0,-1.36
-110.0084,37.57324,23.04,2.56,0.05,36.11,24.34,4.63,0.05,34.94,1.3,2.07,0.0,-1.17
-110.007,37.61733,23.07,2.57,0.06,36.11,24.31,4.36,0.06,34.75,1.24,1.79,0.0,-1.36
-110.0057,37.59436,23.07,2.57,0.07,36.11,24.31,4.36,0.07,34.75,1.24,1.79,0.0,-1.36
-110.0057,37.61284,23.07,2.57,0.07,36.11,24.31,4.36,0.07,34.75,1.24,1.79,0.0,-1.36
-110.005,37.61892,23.07,2.57,0.06,36.11,24.31,4.36,0.06,34.75,1.24,1.79,0.0,-1.36
-110.005,37.62657,23.07,2.57,0.08,36.11,24.31,4.36,0.08,34.75,1.24,1.79,0.0,-1.36
-110.0046,37.57034,23.04,2.56,0.06,36.11,24.34,4.63,0.06,34.94,1.3,2.07,0.0,-1.17
-110.0033,37.59806,23.07,2.57,0.08,36.11,24.31,4.36,0.08,34.75,1.24,1.79,0.0,-1.36
-110.0033,37.61707,23.07,2.57,0.07,36.11,24.31,4.36,0.07,34.75,1.24,1.79,0.0,-1.36
-110.0029,37.62156,23.07,2.57,0.07,36.11,24.31,4.36,0.07,34.75,1.24,1.79,0.0,-1.36
-110.0022,37.57324,23.04,2.56,0.06,36.11,24.34,4.63,0.06,34.94,1.3,2.07,0.0,-1.17
-110.0022,37.5846,23.04,2.56,0.05,36.11,24.34,4.63,0.05,34.94,1.3,2.07,0.0,-1.17
-110.0022,37.60915,23.07,2.57,0.07,36.11,24.31,4.36,0.07,34.82,1.24,1.79,0.0,-1.29
-110.0019,37.57879,23.04,2.56,0.05,36.11,24.34,4.63,0.05,34.94,1.3,2.07,0.0,-1.17
-110.0016,37.59146,23.07,2.57,0.08,36.11,24.31,4.36,0.08,34.75,1.24,1.79,0.0,-1.36
-110.0016,37.61654,23.07,2.57,0.07,36.11,24.31,4.36,0.07,34.75,1.24,1.79,0.0,-1.36
-110.0012,37.61733,23.07,2.57,0.08,36.11,24.31,4.36,0.07,34.75,1.24,1.79,-0.01,-1.36
-110.0005,37.61892,23.07,2.57,0.08,36.11,24.31,4.36,0.08,34.75,1.24,1.79,0.0,-1.36
-109.9998,37.58565,23.04,2.56,0.07,36.11,24.34,4.63,0.07,34.94,1.3,2.07,0.0,-1.17
-109.9988,37.62393,23.07,2.57,0.07,36.11,24.31,4.36,0.07,34.82,1.24,1.79,0.0,-1.29
-109.9978,37.58988,23.07,2.57,0.07,36.11,24.31,4.36,0.07,34.75,1.24,1.79,0.0,-1.36
-109.9974,37.6044,23.07,2.57,0.08,36.11,24.31,4.36,0.08,34.75,1.24,1.79,0.0,-1.36
-109.9971,37.61997,23.07,2.57,0.08,36.11,24.31,4.36,0.08,34.75,1.24,1.79,0.0,-1.36
-109.995,37.59727,22.52,2.5,0.08,35.63,23.64,4.84,0.08,34.22,1.12,2.34,0.0,-1.41
-109.994,37.62499,22.52,2.5,0.07,35.63,23.64,4.84,0.07,34.29,1.12,2.34,0.0,-1.34
-109.9933,37.6102,22.52,2.5,0.08,35.63,23.64,4.84,0.08,34.22,1.12,2.34,0.0,-1.41
-109.993,37.5941,22.52,2.5,0.07,35.63,23.64,4.84,0.07,34.22,1.12,2.34,0.0,-1.41
-109.993,37.61865,22.52,2.5,0.08,35.63,23.64,4.84,0.08,34.22,1.12,2.34,0.0,-1.41
-109.9926,37.62684,22.52,2.5,0.07,35.63,23.64,4.84,0.07,34.22,1.12,2.34,0.0,-1.41
-109.9916,37.63212,21.6,2.71,0.09,34.32,22.73,6.62,0.08,33.08,1.13,3.91,-0.01,-1.24
-109.9913,37.62578,22.52,2.5,0.08,35.63,23.64,4.84,0.07,34.22,1.12,2.34,-0.01,-1.41
-109.9909,37.59278,22.52,2.5,0.08,35.63,23.64,4.84,0.08,34.22,1.12,2.34,0.0,-1.41
-109.9882,37.62736,22.52,2.5,0.1,35.45,23.64,4.84,0.08,34.22,1.12,2.34,-0.02,-1.23
-109.9878,37.62235,22.52,2.5,0.08,35.63,23.64,4.84,0.08,34.22,1.12,2.34,0.0,-1.41
-109.9858,37.62156,22.52,2.5,0.08,35.63,23.64,4.84,0.08,34.22,1.12,2.34,0.0,-1.41
-109.9837,37.62763,22.52,2.5,0.1,35.63,23.64,4.84,0.09,34.22,1.12,2.34,-0.01,-1.41
-109.983,37.62974,21.6,2.71,0.09,34.32,22.73,6.62,0.08,33.08,1.13,3.91,-0.01,-1.24
-109.9823,37.62816,22.52,2.5,0.1,35.45,23.64,4.84,0.08,34.22,1.12,2.34,-0.02,-1.23
-109.9803,37.6139,22.52,2.5,0.09,35.63,23.64,4.84,0.08,34.22,1.12,2.34,-0.01,-1.41
-109.9799,37.62868,22.52,2.5,0.1,35.45,23.64,4.84,0.09,34.22,1.12,2.34,-0.01,-1.23
-109.9786,37.60308,22.52,2.5,0.09,35.63,23.64,4.84,0.09,34.22,1.12,2.34,0.0,-1.41
-109.9786,37.63027,21.6,2.71,0.09,34.32,22.73,6.62,0.08,33.08,1.13,3.91,-0.01,-1.24
-109.9782,37.62921,21.6,2.71,0.1,34.28,22.73,6.62,0.09,33.08,1.13,3.91,-0.01,-1.2
-109.9775,37.63344,21.6,2.71,0.1,34.32,22.73,6.62,0.09,33.08,1.13,3.91,-0.01,-1.24
-109.9762,37.62789,22.52,2.5,0.09,35.63,23.64,4.84,0.09,34.22,1.12,2.34,0.0,-1.41
-109.9758,37.59912,22.52,2.5,0.1,35.63,23.64,4.84,0.09,34.22,1.12,2.34,-0.01,-1.41
-109.9758,37.60862,22.52,2.5,0.09,35.63,23.64,4.84,0.09,34.22,1.12,2.34,0.0,-1.41
-109.9758,37.62684,22.52,2.5,0.1,35.63,23.64,4.84,0.09,34.22,1.12,2.34,-0.01,-1.41
-109.9734,37.61522,22.52,2.5,0.1,35.63,23.64,4.84,0.1,34.22,1.12,2.34,0.0,-1.41
-109.9731,37.6308,21.6,2.71,0.09,34.32,22.73,6.62,0.08,33.08,1.13,3.91,-0.01,-1.24
-109.9714,37.63476,21.6,2.71,0.1,34.32,22.73,6.62,0.1,33.08,1.13,3.91,0.0,-1.24
-109.9693,37.62631,22.52,2.5,0.1,35.63,23.64,4.84,0.09,34.22,1.12,2.34,-0.01,-1.41
-109.969,37.61284,22.52,2.5,0.11,35.63,23.64,4.84,0.11,34.22,1.12,2.34,0.0,-1.41
-109.9679,37.61654,22.52,2.5,0.1,35.63,23.64,4.84,0.1,34.22,1.12,2.34,0.0,-1.41
-109.9679,37.62974,21.6,2.71,0.1,34.28,22.73,6.62,0.08,33.08,1.13,3.91,-0.02,-1.2
-109.9673,37.62868,22.52,2.5,0.09,35.63,23.64,4.84,0.09,34.22,1.12,2.34,0.0,-1.41
-109.9669,37.62446,22.52,2.5,0.11,35.45,23.64,4.84,0.1,34.22,1.12,2.34,-0.01,-1.23
-109.9662,37.60783,22.52,2.5,0.08,35.63,23.64,4.84,0.08,34.22,1.12,2.34,0.0,-1.41
-109.9662,37.63159,21.6,2.71,0.09,34.32,22.73,6.62,0.09,33.08,1.13,3.91,0.0,-1.24
-109.9659,37.62525,22.52,2.5,0.09,35.63,23.64,4.84,0.08,34.22,1.12,2.34,-0.01,-1.41
